known_heads,shared_tail,target_relation,answers
"[('surgery (treatment)', 'contraindicated_with_disease'), ('VASCULAR ANOMALIES CNS', 'contraindicated_with_disease')]",Plasminogen Activator (Human Tissue-Type Protein Moiety),used_for,['Plasminogen activator agent (substance)']
"[('surgery (treatment)', 'contraindicated_with_disease'), ('VASCULAR ANOMALIES CNS', 'contraindicated_with_disease')]",Plasminogen Activator (Human Tissue-Type Protein Moiety),has_component,['captopril/recombinant tissue plasminogen activator']
"[('surgery (treatment)', 'contraindicated_with_disease'), ('VASCULAR ANOMALIES CNS', 'contraindicated_with_disease')]",Plasminogen Activator (Human Tissue-Type Protein Moiety),has_ingredient,"['alteplase 100 mg intravenous powder for injection', 'Activase 100mg Powder for Injection']"
"[('surgery (treatment)', 'contraindicated_with_disease'), ('VASCULAR ANOMALIES CNS', 'contraindicated_with_disease')]",Plasminogen Activator (Human Tissue-Type Protein Moiety),has_active_ingredient,"['ALTEPLACE,RECOMBINANT 50MG/VIL INJ', 'reteplase@10 unit x 2 (20 unit total)@INTRAVEN@KIT']"
"[('Facial nerve structure (body structure)', 'has_finding_site'), ('FACIAL PARESIS, HEREDITARY CONGENITAL, 2', 'manifestation_of')]",Bell's palsy (diagnosis),used_for,['Facial nerve palsy (cranial nerve VII)']
"[('Facial nerve structure (body structure)', 'has_finding_site'), ('FACIAL PARESIS, HEREDITARY CONGENITAL, 2', 'manifestation_of')]",Bell's palsy (diagnosis),associated_with,['NEURO']
"[('foreign body of uterus (diagnosis)', 'associated_morphology_of'), ('Foreign body in respiratory tract (disorder)', 'associated_morphology_of')]",Foreign body (disorder),associated_with,"['laceration with foreign body of external genital organs (diagnosis)', 'puncture wound of calf of lower leg with foreign body (diagnosis)', 'allergic urticaria due to foreign body (diagnosis)']"
"[('(Severe asthma attack) or (status asthmaticus NOS) (disorder)', 'contraindicated_with_disease'), ('Perennial allergic rhinitis (disorder)', 'may_treat')]","(11beta,16beta)-9-Chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione",has_ingredient,"['beclomethasone Metered Dose Nasal Spray', 'Beclomethasone dipropionate 84mcg/spray spray', 'Topical beclometasone', 'beclomethasone Metered Dose Inhaler']"
"[('(Severe asthma attack) or (status asthmaticus NOS) (disorder)', 'contraindicated_with_disease'), ('Perennial allergic rhinitis (disorder)', 'may_treat')]","(11beta,16beta)-9-Chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione",has_active_ingredient,"['inhaled beclomethasone (medication)', 'albuterol + beclomethasone (medication)', 'systemic beclomethasone dipropionate (medication)']"
"[('(Severe asthma attack) or (status asthmaticus NOS) (disorder)', 'contraindicated_with_disease'), ('Perennial allergic rhinitis (disorder)', 'may_treat')]","(11beta,16beta)-9-Chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione",physiologic_effect_of,['Vasoconstriction']
"[('(Severe asthma attack) or (status asthmaticus NOS) (disorder)', 'contraindicated_with_disease'), ('Perennial allergic rhinitis (disorder)', 'may_treat')]","(11beta,16beta)-9-Chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione",therapeutic_class_of,['Anti-inflammatory Agent [TC]']
"[('PEERB', 'manifestation_of'), ('vvi pacemaker', 'clinically_associated_with')]",quadriplegia was seen,used_for,['Paralysis NOS (finding)']
"[('PEERB', 'manifestation_of'), ('vvi pacemaker', 'clinically_associated_with')]",quadriplegia was seen,clinically_associated_with,['(Hypertensive disease) or (hypertension) (disorder)']
"[('Exposure to organism (event)', 'associated_with'), ('Genitourinary System Infection', 'causative_agent_of')]",Organismal,has_component,"['ANIMAL INOCULATION SMALL ANIMAL W/OBS&DSJ', 'Radiometric culture procedure (procedure)', 'SMR PRIM SRC CPLX SPEC STAIN OVA&PARASITS', 'Special stains group 1', 'Culture Procedure']"
"[('Malignant neoplasms of male genital organs (C60-C63)', 'associated_morphology_of'), ('PCNSL NOS', 'associated_with')]",(Neoplasms) or (cancers) (disorder),has_component,['Crab IgE Ab [Units/volume] in Serum']
"[('Malignant neoplasms of male genital organs (C60-C63)', 'associated_morphology_of'), ('PCNSL NOS', 'associated_with')]",(Neoplasms) or (cancers) (disorder),associated_with,"['Cancer Fatigue', 'acquired hemophagocytic lymphohistiocytosis associated with malignant disease (diagnosis)', 'Human immunodeficiency virus (HIV) disease resulting in multiple malignant neoplasms', 'bladder cancer (diagnosis)']"
"[('Malignant neoplasms of male genital organs (C60-C63)', 'associated_morphology_of'), ('PCNSL NOS', 'associated_with')]",(Neoplasms) or (cancers) (disorder),has_focus,"['visit for: exam following completed treatment for malignant neoplasm (symptom)', 'Bso omentectomy w/tah', 'targeted genome sequence analysis panel for solid organ neoplasm (lab test)', 'Assessment for risk of neoplastic disease', 'FACT questionnaire', 'DNA probe FISH for malignant neoplasm (lab test)', 'observation; suspected neoplasm (malignant)']"
"[('Malignant neoplasms of male genital organs (C60-C63)', 'associated_morphology_of'), ('PCNSL NOS', 'associated_with')]",(Neoplasms) or (cancers) (disorder),clinically_associated_with,['Abdominal mass (disorder)']
"[('polycystic ovary syndrome (PCOS)', 'may_treat'), ('neoplasm of hypothalamus (diagnosis)', 'contraindicated_with_disease')]",urofollitropin (medication),has_ingredient,"['urofollitropin 75 intl units injectable powder for injection', 'urofollitropin 150 UNT/ML', 'Urofollitropin-containing product in parenteral dose form', 'Metrodin 75iu injection (pdr for recon)+solvent']"
"[('polycystic ovary syndrome (PCOS)', 'may_treat'), ('neoplasm of hypothalamus (diagnosis)', 'contraindicated_with_disease')]",urofollitropin (medication),therapeutic_class_of,"['Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)']"
"[('Psychiatric (qualifier value)', 'associated_with'), ('eating disorder (diagnosis)', 'associated_with')]","Anorexia nervosa, unspecified",contraindicated_with_disease,['Sibutramine (substance)']
"[('Psychiatric (qualifier value)', 'associated_with'), ('eating disorder (diagnosis)', 'associated_with')]","Anorexia nervosa, unspecified",clinically_associated_with,['Potassium [K] deficiency']
"[('malignant lymphomatoid granulomatosis grade 3 of lung (diagnosis)', 'causative_agent_of'), (""Infectious mononucleosis (& Pfeiffer's disease) (disorder)"", 'associated_with')]",INFECT MONONUCLEOSIS VIRUS,used_for,['Lymphoproliferative group virus (organism)']
"[('malignant lymphomatoid granulomatosis grade 3 of lung (diagnosis)', 'causative_agent_of'), (""Infectious mononucleosis (& Pfeiffer's disease) (disorder)"", 'associated_with')]",INFECT MONONUCLEOSIS VIRUS,has_component,['Epstein Barr virus deoxyribonucleic acid:Presence or Threshold:To identify measures at a point in time:Whole blood:Ordinal:Probe.amp.tar']
"[('abrasion of right ear (diagnosis)', 'associated_morphology_of'), ('abrasion on right upper arm', 'associated_morphology_of')]",abrasion (see also by location),has_finding_site,['abrasion of abdominal wall (diagnosis)']
"[('third degree burns of breast (diagnosis)', 'co-occurs_with'), ('Skin and subcutaneous tissue structure of shoulder region', 'has_finding_site')]",third degree burns of shoulder (physical finding),co-occurs_with,['third degree burns of breast (diagnosis)']
"[('Anorexia nervosa, unspecified', 'contraindicated_with_disease'), ('bulimia nervosa (diagnosis)', 'contraindicated_with_disease')]",Sibutramine (substance),has_ingredient,"['sibutramine Oral Capsule', 'Sibutramine hydrochloride monohydrate 10 mg oral capsule']"
"[('thyrotropin release inhibiting factor', 'used_for'), ('folliliberin', 'used_for')]",Somatotropin inhibiting factor preparation (product),has_component,['Somatostatin measurement (procedure)']
"[('Oncofetal antigen (substance)', 'used_for'), ('gold antigen', 'used_for')]",CD66e Ag,has_component,"['Carcinoembryonic antigen: (& level) (procedure)', 'serum carcinoembryonic antigen (CEA)', 'Onc clrct scr 3 prtn alg']"
"[('Gastrointestinal tract irritation', 'associated_morphology_of'), ('Chronic trichobezoar formation (disorder)', 'location_of')]",gastrointestinal (GI) tract,has_finding_site,"['(Psychogenic diarrhoea) or (spurious diarrhoea) (disorder)', 'Blood in vomit of newborn due to swallowed maternal blood (finding)', 'status of artificial opening of GI tract', 'Acute gastrointestinal hemorrhage (disorder)', 'vomiting in morning (symptom)', 'Winter dysentery', 'Acute peptic ulcer without haemorrhage AND without perforation', 'Benign carcinoid tumor of gastrointestinal tract (disorder)', 'oxyphilic adenocarcinoma of digestive tract (diagnosis)', 'Fetal gastrointestinal abnormality (disorder)', 'Carcinoid tumor of gastrointestinal tract (disorder)', 'Infection of gastrointestinal tract caused by human herpes simplex virus (disorder)', 'Anal warts (disorder)', 'Episodic diarrhoea', 'Neonatal calf diarrhea (disorder)', 'Rumination (finding)', 'Cloacal stenosis', 'Phytobezoariasis (disorder)', 'adult rumination syndrome (diagnosis)', 'Gastrointestinal necrosis', 'Cloacitis (disorder)', 'bloody diarrhea (symptom)', 'Epidemic diarrheal disease of infant mouse (disorder)', 'Coronaviral calf diarrhea (disorder)', ""Abscess of intestine co-occurrent and due to Crohn's disease of small and large intestine (disorder)"", 'Anal sac fistula (disorder)', 'tuberculosis gastrointestinal retroperitoneum (diagnosis)', 'Infectious neonatal hepatitis (disorder)', 'Normal intestinal absorption (finding)', 'Fecal soiling co-occurrent and due to fecal incontinence (finding)', 'therapeutic barium enema for reduction of intussusception (procedure)']"
"[('Gastrointestinal tract irritation', 'associated_morphology_of'), ('Chronic trichobezoar formation (disorder)', 'location_of')]",gastrointestinal (GI) tract,has_direct_procedure_site,"['NAA with probe detection with reverse transcription for GI pathogen, 22 targets (lab test)', 'Transplant, Fecal', 'NAA with probe detection with reverse transcription for gastrointestinal pathogen (lab test)', 'Fine needle aspiration biopsy of abdominal lymph node using endoscopic ultrasonography guidance']"
"[('Gastrointestinal tract irritation', 'associated_morphology_of'), ('Chronic trichobezoar formation (disorder)', 'location_of')]",gastrointestinal (GI) tract,has_procedure_site,"['Roux-en-Y anastomosis of extrahepatic biliary ducts and gastrointestinal tract (procedure)', 'Medical procedure on gastrointestinal tract (procedure)', 'preventive medicine services GI prophylaxis for NSAID prescribed', 'transvaginal ultrasound: appearance of gastrointestinal tract of fetus (procedure)', 'Retired procedure [7568006]', 'Gastro-oesophageal reflux study', 'GI TRC IMG INTRALUMINAL ESOPHAGUS-ILEUM W/I&R', 'Retired procedure [55541009]', 'Breath test analysis c-14', 'Retired procedure [55739005]', 'radioisotope scan of intestine (procedure)']"
"[('HIGH DENSITY LIPOPROTEIN DEFICIENCY', 'manifestation_of'), ('Blood-vessels--Diseases', 'associated_with')]",Ischaemic chest pain (disorder),associated_with,['atherosclerosis of nonautologous biological artery coronary artery bypass graft with angina pectoris (diagnosis)']
"[('HIGH DENSITY LIPOPROTEIN DEFICIENCY', 'manifestation_of'), ('Blood-vessels--Diseases', 'associated_with')]",Ischaemic chest pain (disorder),has_focus,"['angina assessed (physical finding)', 'stent indications: angina pectoris (treatment)']"
"[('HIGH DENSITY LIPOPROTEIN DEFICIENCY', 'manifestation_of'), ('Blood-vessels--Diseases', 'associated_with')]",Ischaemic chest pain (disorder),may_treat,['Acebutolol (substance)']
"[('HIGH DENSITY LIPOPROTEIN DEFICIENCY', 'manifestation_of'), ('Blood-vessels--Diseases', 'associated_with')]",Ischaemic chest pain (disorder),clinically_associated_with,['anemia (diagnosis)']
"[('MUSCLE GLYCOGEN SYNTHASE DEFICIENCY', 'manifestation_of'), ('AORTIC INSUFFICIENCY TRACE', 'co-occurs_with')]",hypertrophy of left ventricle,has_component,['Left ventricular hypertrophy change:Finding:To identify measures at a point in time:^Patient:Ordinal:ESRD']
"[('MUSCLE GLYCOGEN SYNTHASE DEFICIENCY', 'manifestation_of'), ('AORTIC INSUFFICIENCY TRACE', 'co-occurs_with')]",hypertrophy of left ventricle,associated_with,['hypertrophy of morphologic left ventricle (diagnosis)']
"[('MUSCLE GLYCOGEN SYNTHASE DEFICIENCY', 'manifestation_of'), ('AORTIC INSUFFICIENCY TRACE', 'co-occurs_with')]",hypertrophy of left ventricle,clinically_associated_with,['Angina at rest (disorder)']
"[('[M]Dermatofibrosarcoma NOS (morphologic abnormality)', 'may_treat'), ('myelogenous leukemia (diagnosis)', 'may_treat')]",imatinib (medication),has_component,['N-desmethyl imatinib in serum or plasma (lab test)']
"[('[M]Dermatofibrosarcoma NOS (morphologic abnormality)', 'may_treat'), ('myelogenous leukemia (diagnosis)', 'may_treat')]",imatinib (medication),has_ingredient,['Imatinib Tablets']
"[('[M]Dermatofibrosarcoma NOS (morphologic abnormality)', 'may_treat'), ('myelogenous leukemia (diagnosis)', 'may_treat')]",imatinib (medication),therapeutic_class_of,['Antineoplastic Agent [TC]']
"[('burns involving 40-49% of body surface (diagnosis)', 'associated_morphology_of'), ('Gastric Stress Ulcer', 'associated_with')]",burns (physical finding),associated_with,['burn color (physical finding)']
"[('hydrochlorothiazide (medication)', 'has_active_ingredient'), ('reserpine (medication)', 'has_active_ingredient')]",Hydrochlorothiazide + reserpine (product),has_ingredient,['HCTZ 50 MG / reserpine 0.125 MG Oral Tablet']
"[('Sialidosis [mucolipidosis I]', 'used_for'), ('Sialidosis type 1 (disorder)', 'used_for')]",lipochondrodystrophy (diagnosis),may_treat,['laronidase (medication)']
"[('renal infarction (diagnosis)', 'clinically_associated_with'), ('thrombosis of renal artery (diagnosis)', 'clinically_associated_with')]",HYPERCOAGULABLE STATE HOMOCYSTINE COAGULOPATHY,clinically_associated_with,['Blood clots in the lung']
"[('Outflow tract obstruction in solitary indeterminate ventricle (disorder)', 'associated_with'), ('Subaortic outflow tract obstruction in solitary indeterminate ventricle (disorder)', 'associated_with')]",Solitary ventricle of indeterminate morphology (disorder),pathological_process_of,['Pathological developmental process (qualifier value)']
"[('Apertura Sinus Maxillaris', 'used_for'), ('Sinus congestion (finding)', 'location_of')]",Structure of paranasal sinus cavity,has_finding_site,"['Fungal sinusitis (disorder)', 'carcinoma ex pleomorphic adenoma of accessory sinus (diagnosis)', 'angioimmunoblastic T-cell lymphoma of accessory sinuses not having achieved remission (diagnosis)', 'eosinophilic mucin rhinosinusitis (diagnosis)', 'Suppurative sinusitis with complications (disorder)', 'nodular melanoma of accessory sinus (diagnosis)', 'malignant melanoma of accessory sinus (diagnosis)', 'rhinosinusitis (diagnosis)', 'Glomangiopericytoma of nasal sinus (diagnosis)', 'sinus empyema', 'CRSwNP - chronic rhinosinusitis with nasal polyps']"
"[('Apertura Sinus Maxillaris', 'used_for'), ('Sinus congestion (finding)', 'location_of')]",Structure of paranasal sinus cavity,has_direct_procedure_site,"['Excision of benign inverted papilloma of nasal sinus (procedure)', 'Endoscopy of nose and sinuses', 'nasal smear for eosinophils (lab test)', 'Intranasal sinusotomy', 'Magnetic resonance imaging of nasal sinuses with contrast', 'Endoscopic needle biopsy of nasal sinus (procedure)', 'Computed tomography of head and sinuses with contrast', 'Excision of nasal sinus and nasal turbinate (procedure)']"
"[('Apertura Sinus Maxillaris', 'used_for'), ('Sinus congestion (finding)', 'location_of')]",Structure of paranasal sinus cavity,has_procedure_site,"['fluoroscopy sinus tract (procedure)', 'tomogram (conventional) skull sinuses', 'oronasal fistula repair (treatment)', 'nasal endoscopy with dilation of frontal sinus ostium (treatment)', 'nasal endoscopy with total ethmoidectomy (treatment)', 'CT scan of paranasal sinuses without contrast', 'SINUSOT UNI 3/> PARANSL SINUSES']"
